"started_at","ended_at","duration","start_station_id","start_station_name","start_station_description","start_station_latitude","start_station_longitude","end_station_id","end_station_name","end_station_description","end_station_latitude","end_station_longitude"
"2019-09-01 07:08:56.973000+00:00","2019-09-01 08:00:30.237000+00:00","3093","345","Colinton Road","Colinton Road next to Napier University","55.93339776573361","-3.2124286474635255","249","Fountainbridge","Fountainbridge by Gardner's Crescent","55.94335692764551","-3.2092475016246453"
"2019-09-01 07:19:47.959000+00:00","2019-09-01 07:40:42.003000+00:00","1254","189","City Chambers","City Chambers Quadrangle","55.95010933017899","-3.190257770093808","253","Kings Building 2","Sanderson Building","55.92320215516664","-3.1716462453634904"
"2019-09-01 07:24:35.198000+00:00","2019-09-01 07:36:15.753000+00:00","700","1025","Dundee Terrace","Corner of Dundee Street & Dundee Terrace","55.93970989541296","-3.2205889336679547","259","St Andrew Square","North East corner","55.95490573198223","-3.192443756949956"
"2019-09-01 07:28:57.467000+00:00","2019-09-01 07:36:47.042000+00:00","469","358","Leith Walk","Leith Walk opposite Dalmeny Street","55.96503980507732","-3.1766864147848537","262","Canonmills","near Tesco's","55.96280408759764","-3.196283585062929"
"2019-09-01 07:41:32.594000+00:00","2019-09-01 07:49:07.043000+00:00","454","262","Canonmills","near Tesco's","55.96280408759764","-3.196283585062929","866","Comely Bank Road","Between trees on Comely Bank Road","55.95940686974708","-3.2156598206622675"
"2019-09-01 07:41:34.635000+00:00","2019-09-01 07:56:14.312000+00:00","879","247","Charlotte Square","North Corner of Charlotte Square","55.95233546161639","-3.2071011721072864","344","Marchmont Crescent","Corner of Marchmont Crescent & Marchmont Road","55.936397496743666","-3.194252202886105"
"2019-09-01 07:45:28.320000+00:00","2019-09-01 08:07:04.713000+00:00","1296","358","Leith Walk","Leith Walk opposite Dalmeny Street","55.96503980507732","-3.1766864147848537","257","Portobello","Edinburgh Leisure Tumbles Centre","55.957004308392506","-3.1168881187301167"
"2019-09-01 07:45:34.644000+00:00","2019-09-01 09:30:32.941000+00:00","6298","253","Kings Building 2","Sanderson Building","55.92320215516664","-3.1716462453634904","253","Kings Building 2","Sanderson Building","55.92320215516664","-3.1716462453634904"
"2019-09-01 07:48:18.694000+00:00","2019-09-01 08:31:15.321000+00:00","2576","1019","Grassmarket","West end of Grassmarket","55.947097278583385","-3.1972457326126005","881","Tollcross","Outside Piccolino","55.94428069681837","-3.2029643592377397"
"2019-09-01 07:54:31.087000+00:00","2019-09-01 08:16:07.091000+00:00","1296","366","Dudley Gardens","Corner of Dudley Gardens on Newhaven Road","55.97592062794979","-3.1913460792943624","183","Waverley Bridge","near the top of the South ramp","55.95134439884462","-3.1914209989898836"
"2019-09-01 08:11:58.660000+00:00","2019-09-01 09:47:01.797000+00:00","5703","1019","Grassmarket","West end of Grassmarket","55.947097278583385","-3.1972457326126005","868","Dundas Street","Corner of Dundas Street & Henderson Row","55.96094446922441","-3.2013869942491056"
"2019-09-01 08:12:07.975000+00:00","2019-09-01 09:46:37.126000+00:00","5669","1019","Grassmarket","West end of Grassmarket","55.947097278583385","-3.1972457326126005","868","Dundas Street","Corner of Dundas Street & Henderson Row","55.96094446922441","-3.2013869942491056"
"2019-09-01 08:14:22.105000+00:00","2019-09-01 08:43:32.909000+00:00","1750","1025","Dundee Terrace","Corner of Dundee Street & Dundee Terrace","55.93970989541296","-3.2205889336679547","1025","Dundee Terrace","Corner of Dundee Street & Dundee Terrace","55.93970989541296","-3.2205889336679547"
"2019-09-01 08:19:29.583000+00:00","2019-09-01 08:25:48.657000+00:00","379","358","Leith Walk","Leith Walk opposite Dalmeny Street","55.96503980507732","-3.1766864147848537","1026","Constitution Street","Next to Burns Statue","55.97544142756835","-3.166806411195239"
"2019-09-01 08:24:18.406000+00:00","2019-09-01 08:36:20.191000+00:00","721","870","Hillside Crescent","East corner of Hillside Crescent & London Road","55.957792800284125","-3.1757986190875727","868","Dundas Street","Corner of Dundas Street & Henderson Row","55.96094446922441","-3.2013869942491056"
"2019-09-01 08:43:49.070000+00:00","2019-09-01 08:47:42.353000+00:00","233","1025","Dundee Terrace","Corner of Dundee Street & Dundee Terrace","55.93970989541296","-3.2205889336679547","249","Fountainbridge","Fountainbridge by Gardner's Crescent","55.94335692764551","-3.2092475016246453"
